accel_only_with_bias_x (m/s^2),accel_only_with_bias_y (m/s^2),accel_only_with_bias_z (m/s^2)
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
9.844841972265040708e-02,8.815857775038537625e+00,9.844841972264974095e-02
